0,0,26,0:0,0,32,0
0,0,32,0:0,0,37,500
0,0,38,0:0,0,43,0
0,0,44,0:0,0,49,0
0,0,49,0:0,0,55,0
0,0,55,0:0,1,0,0
0,1,1,0:0,1,6,0
0,1,6,0:0,1,12,0
0,1,14,500:0,1,20,0
0,1,20,0:0,1,26,0
0,1,27,0:0,1,32,0
0,1,32,0:0,1,40,0
0,1,41,0:0,1,45,0
0,1,45,0:0,1,48,0
0,1,48,0:0,1,51,0
0,1,52,0:0,1,57,0
0,1,57,0:0,1,59,0
0,1,59,0:0,2,2,0
0,2,2,0:0,2,6,0
0,2,6,0:0,2,9,0
0,2,9,0:0,2,12,0
0,2,12,0:0,2,16,0
0,2,16,0:0,2,18,0
0,2,18,0:0,2,21,0
0,2,21,0:0,2,23,0
0,2,23,0:0,2,32,0
0,2,53,0:0,2,58,0
0,2,58,0:0,3,3,0
0,3,3,0:0,3,10,0
0,3,10,0:0,3,15,0
0,3,15,0:0,3,21,0
0,3,21,0:0,3,27,0
0,3,27,0:0,3,33,0
0,3,33,0:0,3,39,0
0,3,41,0:0,3,46,0
0,3,46,0:0,3,52,0
0,3,53,0:0,3,57,0
0,3,57,0:0,4,5,0
0,4,6,0:0,4,11,0
0,4,11,0:0,4,14,0
0,4,14,0:0,4,17,0
0,4,18,0:0,4,22,0
0,4,22,0:0,4,25,0
0,4,25,0:0,4,28,0
0,4,28,0:0,4,31,0
0,4,31,0:0,4,34,0
0,4,34,0:0,4,37,0
0,4,37,0:0,4,41,0
0,4,41,0:0,4,43,0
0,4,43,0:0,4,45,0
0,4,45,0:0,4,48,0
0,4,48,0:0,4,52,0
0,4,52,0:0,4,54,0
0,4,54,0:0,4,57,0
0,4,57,0:0,4,59,0
0,4,59,0:0,5,3,0
0,5,3,0:0,5,5,0
0,5,5,0:0,5,8,0
0,5,8,0:0,5,10,0
0,5,10,0:0,5,14,0
0,5,14,0:0,5,16,0
0,5,16,0:0,5,19,0
0,5,19,0:0,5,21,0
0,5,21,0:0,5,25,0
0,5,25,0:0,5,27,0
0,5,27,0:0,5,30,0
0,5,30,0:0,5,32,0
0,5,32,0:0,5,36,0
0,5,36,0:0,5,39,0
0,5,46,0:0,5,50,0
0,5,50,0:0,5,55,0
0,5,56,0:0,6,8,0
0,6,9,0:0,6,16,0
