0,0,40,0:0,0,46,0
0,0,47,0:0,0,52,0
0,0,55,0:0,0,57,0
0,0,58,0:0,1,1,0
0,1,1,0:0,1,6,0
0,1,7,0:0,1,13,0
0,1,14,0:0,1,21,0
0,1,21,0:0,1,29,0
0,1,29,0:0,1,35,0
0,2,5,0:0,2,10,0
0,2,11,0:0,2,17,0
0,2,19,0:0,2,22,0
0,2,22,0:0,2,26,0
0,2,26,0:0,2,32,0
0,2,32,0:0,2,39,0
0,2,39,0:0,2,46,0
0,2,46,0:0,2,54,0
0,2,54,0:0,3,1,0
0,3,2,0:0,3,8,0
0,3,8,0:0,3,16,0
0,3,16,0:0,3,19,0
0,3,19,0:0,3,22,0
0,3,22,0:0,3,29,0
0,3,29,0:0,3,39,0
0,3,39,0:0,3,45,0
0,3,45,0:0,3,47,0
0,3,47,0:0,3,58,0
0,3,58,0:0,4,2,0
0,4,2,0:0,4,4,0
0,4,4,0:0,4,30,0
